price
3491.620
3488.220
3482.290
3477.550
3472.530
3465.470
3461.430
3455.420
3448.400
3443.400
3436.580
3432.220
3425.480
3421.300
3415.520
3410.950
3406.820
3401.310
3394.867
3391.750
3388.340
3382.360
3377.170
3372.500
3365.270
3361.400
3355.600
3348.510
3343.200
3336.380
3332.160
3325.500
3321.010
3315.440
3310.940
3306.720
3301.220
3295.630
3291.590
3288.340
3282.240
3277.270
3272.230
3265.360
3261.380
3255.490
3248.480
3243.550
3236.200
3232.080
3225.470
3220.880
3215.310
3210.880
3206.640
3201.180
3195.480
3191.610
3188.360
3182.100
3177.310
3172.230
3165.430
3161.350
3155.420
3148.240
3143.510
3136.290
3132.020
3120.960
3115.570
3110.790
3106.600
3101.320
3095.560
3091.780
3088.140
3082.130
3077.260
3072.360
3065.330
3061.280
3055.370
3048.310
3043.300
3036.200
3031.940
3025.160
3020.880
3015.280
3010.920
3006.610
3001.230
2995.340
2990.910
2987.960
2982.310
2977.110
2972.250
2965.380
2961.230
2955.320
2948.142
2943.371
2936.182
2931.873
2925.241
2921.125
2915.384
2910.973
2906.546
2901.271
2895.590
2891.327
2887.976
2882.300
2876.992
2871.976
2865.324
2861.277
2855.647
2847.967
2843.123
2836.334
2825.583
2821.872
2815.134
2810.622
2806.698
2800.492
2795.369
2791.299
2787.180
2782.180
2777.490
2771.780
2765.350
2761.120
2755.460
2748.430
2743.200
2736.273
2732.047
2725.902
2721.342
2715.467
2710.747
2706.771
2700.570
2695.644
2691.842
2687.980
2682.022
2676.985
2671.480
2665.222
2661.022
2655.250
2648.475
2643.156
2636.802
2631.110
2625.790
2620.454
2615.150
2610.579
2606.586
2600.302
2594.939
2589.049
2582.890
2577.475
2572.462
2564.951
2556.786
2551.763
2545.559
2542.155
2535.358
2527.125
2521.573
2515.744
2510.895
2506.929
2499.937
2495.029
2491.521
2486.137
2482.405
2477.735
